"企業産業中分類","企業数","0～4人","5～9人","10～19人","20～29人","30～49人","50～99人"," 100
 　～299人"," 300
  ～999人","1,000
 ～1,999人","2,000
 ～4,999人","  5,000人
        以上"
"H 運輸業，郵便業_44 道路貨物運送業","348.0","84.0","80.0","79.0","40.0","27.0","24.0","10.0","4.0","-","-","-"
"H 運輸業，郵便業_45 水運業","27.0","13.0","7.0","5.0","1.0","1.0","-","-","-","-","-","-"
"H 運輸業，郵便業_46 航空運輸業","-","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業_47 倉庫業","19.0","7.0","2.0","2.0","1.0","5.0","-","2.0","-","-","-","-"
"H 運輸業，郵便業_48 運輸に附帯するサービス業","23.0","7.0","2.0","7.0","2.0","2.0","2.0","1.0","-","-","-","-"
"H 運輸業，郵便業_49 郵便業（信書便事業を含む）","-","-","-","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業","2876.0","1681.0","568.0","324.0","114.0","86.0","59.0","32.0","9.0","1.0","1.0","1.0"
"I 卸売業，小売業_50 各種商品卸売業","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業_51 繊維・衣服等卸売業","64.0","39.0","13.0","5.0","4.0","3.0","-","-","-","-","-","-"
"I 卸売業，小売業_52 飲食料品卸売業","351.0","186.0","75.0","55.0","13.0","12.0","7.0","2.0","1.0","-","-","-"
"I 卸売業，小売業_53 建築材料，鉱物・金属材料等卸売業","321.0","180.0","72.0","38.0","9.0","13.0","5.0","3.0","1.0","-","-","-"
"I 卸売業，小売業_54 機械器具卸売業","160.0","90.0","28.0","26.0","4.0","3.0","6.0","2.0","1.0","-","-","-"
"I 卸売業，小売業_55 その他の卸売業","282.0","180.0","56.0","24.0","10.0","5.0","4.0","3.0","-","-","-","-"
"I 卸売業，小売業_56 各種商品小売業","2.0","1.0","-","-","-","-","-","-","-","-","-","1.0"
"I 卸売業，小売業_57 織物・衣服・身の回り品小売業","169.0","120.0","25.0","9.0","5.0","4.0","4.0","-","2.0","-","-","-"
"I 卸売業，小売業_58 飲食料品小売業","347.0","174.0","58.0","47.0","26.0","18.0","11.0","8.0","3.0","1.0","1.0","-"
"I 卸売業，小売業_59 機械器具小売業","335.0","198.0","70.0","35.0","8.0","5.0","9.0","10.0","-","-","-","-"
"I 卸売業，小売業_60 その他の小売業","765.0","455.0","157.0","81.0","34.0","22.0","12.0","3.0","1.0","-","-","-"
"I 卸売業，小売業_61 無店舗小売業","78.0","57.0","13.0","4.0","1.0","1.0","1.0","1.0","-","-","-","-"
"J 金融業，保険業","175.0","136.0","27.0","5.0","4.0","2.0","-","-","-","-","1.0","-"
"J 金融業，保険業_62 銀行業","1.0","-","-","-","-","-","-","-","-","-","1.0","-"
"J 金融業，保険業_63 協同組織金融業","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_64 貸金業，クレジットカード業等非預金信用機関","14.0","10.0","3.0","1.0","-","-","-","-","-","-","-","-"
"J 金融業，保険業_65 金融商品取引業，商品先物取引業","4.0","4.0","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_66 補助的金融業等","3.0","2.0","-","1.0","-","-","-","-","-","-","-","-"
"J 金融業，保険業_67 保険業（保険媒介代理業，保険サービス業を含む）","153.0","120.0","24.0","3.0","4.0","2.0","-","-","-","-","-","-"
"K 不動産業，物品賃貸業","820.0","730.0","44.0","22.0","12.0","6.0","2.0","3.0","1.0","-","-","-"
"K 不動産業，物品賃貸業_68 不動産取引業","178.0","154.0","10.0","8.0","3.0","2.0","-","1.0","-","-","-","-"
"K 不動産業，物品賃貸業_69 不動産賃貸業・管理業","562.0","527.0","19.0","6.0","6.0","2.0","-","2.0","-","-","-","-"
"K 不動産業，物品賃貸業_70 物品賃貸業","80.0","49.0","15.0","8.0","3.0","2.0","2.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業","365.0","253.0","61.0","29.0","5.0","13.0","1.0","3.0","-","-","-","-"
"L 学術研究，専門・技術サービス業_71 学術・開発研究機関","5.0","5.0","-","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業_72 専門サービス業（他に分類されないもの）","103.0","81.0","15.0","4.0","1.0","2.0","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業_73 広告業","25.0","17.0","2.0","5.0","-","1.0","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業_74 技術サービス業（他に分類されないもの）","232.0","150.0","44.0","20.0","4.0","10.0","1.0","3.0","-","-","-","-"
"M 宿泊業，飲食サービス業","522.0","164.0","110.0","103.0","48.0","42.0","29.0","20.0","6.0","-","-","-"
"M 宿泊業，飲食サービス業_75 宿泊業","159.0","60.0","32.0","31.0","15.0","8.0","7.0","4.0","2.0","-","-","-"
"M 宿泊業，飲食サービス業_76 飲食店","314.0","96.0","67.0","65.0","29.0","25.0","17.0","13.0","2.0","-","-","-"
"M 宿泊業，飲食サービス業_77 持ち帰り・配達飲食サービス業","49.0","8.0","11.0","7.0","4.0","9.0","5.0","3.0","2.0","-","-","-"
"N 生活関連サービス業，娯楽業","358.0","151.0","72.0","63.0","18.0","29.0","17.0","8.0","-","-","-","-"
"N 生活関連サービス業，娯楽業_78 洗濯・理容・美容・浴場業","151.0","77.0","28.0","20.0","5.0","13.0","6.0","2.0","-","-","-","-"
"N 生活関連サービス業，娯楽業_79 その他の生活関連サービス業","92.0","46.0","20.0","12.0","6.0","1.0","6.0","1.0","-","-","-","-"
"N 生活関連サービス業，娯楽業_80 娯楽業","115.0","28.0","24.0","31.0","7.0","15.0","5.0","5.0","-","-","-","-"
