"企業産業大分類，資本金階級","総数_企業数","総数_常用雇用者数","総数_常用雇用者数_国内","総数_常用雇用者数_海外","株式・有限・相互会社_企業数","株式・有限・相互会社_常用雇用者数","株式・有限・相互会社_常用雇用者数_国内","株式・有限・相互会社_常用雇用者数_海外","合名・合資会社_企業数","合名・合資会社_常用雇用者数","合名・合資会社_常用雇用者数_国内","合名・合資会社_常用雇用者数_海外","合同会社_企業数","合同会社_常用雇用者数","合同会社_常用雇用者数_国内","合同会社_常用雇用者数_海外"
"　A～B 農林漁業 _500万円～1,000万円未満","18.0","172.0","172.0","-","18.0","172.0","172.0","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _1,000万円～3,000万円未満","23.0","210.0","210.0","-","23.0","210.0","210.0","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _3,000万円～5,000万円未満","4.0","69.0","69.0","-","4.0","69.0","69.0","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _5,000万円～1億円未満","6.0","200.0","200.0","-","6.0","200.0","200.0","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _1億円～3億円未満","1.0","59.0","59.0","-","1.0","59.0","59.0","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業 _(再掲)1,000万円以下","83.0","560.0","560.0","-","81.0","551.0","551.0","-","1.0","7.0","7.0","-","1.0","2.0","2.0","-"
"　A～B 農林漁業 _(再掲)5,000万円以下","95.0","727.0","727.0","-","93.0","718.0","718.0","-","1.0","7.0","7.0","-","1.0","2.0","2.0","-"
"　A～B 農林漁業 _(再掲)1億円以下","100.0","927.0","927.0","-","98.0","918.0","918.0","-","1.0","7.0","7.0","-","1.0","2.0","2.0","-"
"　A～B 農林漁業 _(再掲)3億円以下","101.0","986.0","986.0","-","99.0","977.0","977.0","-","1.0","7.0","7.0","-","1.0","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く) ","10366.0","156288.0","155617.0","671.0","10248.0","155672.0","155001.0","671.0","68.0","329.0","329.0","-","50.0","287.0","287.0","-"
"　C～R 非農林漁業(S公務を除く) _300万円未満","624.0","3808.0","3808.0","-","538.0","3356.0","3356.0","-","48.0","238.0","238.0","-","38.0","214.0","214.0","-"
"　C～R 非農林漁業(S公務を除く) _300万円～500万円未満","3256.0","20096.0","20088.0","8.0","3241.0","20022.0","20014.0","8.0","8.0","19.0","19.0","-","7.0","55.0","55.0","-"
"　C～R 非農林漁業(S公務を除く) _500万円～1,000万円未満","1263.0","11249.0","11119.0","130.0","1254.0","11206.0","11076.0","130.0","7.0","43.0","43.0","-","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く) _1,000万円～3,000万円未満","3954.0","59657.0","59633.0","24.0","3952.0","59639.0","59615.0","24.0","1.0","18.0","18.0","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く) _3,000万円～5,000万円未満","560.0","16484.0","16046.0","438.0","560.0","16484.0","16046.0","438.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _5,000万円～1億円未満","259.0","14372.0","14359.0","13.0","259.0","14372.0","14359.0","13.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _1億円～3億円未満","52.0","4052.0","4028.0","24.0","52.0","4052.0","4028.0","24.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _3億円～10億円未満","26.0","5868.0","5868.0","-","26.0","5868.0","5868.0","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _10億円～50億円未満","10.0","2265.0","2246.0","19.0","10.0","2265.0","2246.0","19.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _50億円以上","5.0","13362.0","13347.0","15.0","5.0","13362.0","13347.0","15.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く) _(再掲)1,000万円以下","8222.0","73438.0","73285.0","153.0","8110.0","72851.0","72698.0","153.0","64.0","318.0","318.0","-","48.0","269.0","269.0","-"
"　C～R 非農林漁業(S公務を除く) _(再掲)5,000万円以下","9763.0","115340.0","114740.0","600.0","9651.0","114753.0","114153.0","600.0","64.0","318.0","318.0","-","48.0","269.0","269.0","-"
"　C～R 非農林漁業(S公務を除く) _(再掲)1億円以下","9946.0","128104.0","127467.0","637.0","9834.0","127517.0","126880.0","637.0","64.0","318.0","318.0","-","48.0","269.0","269.0","-"
"　C～R 非農林漁業(S公務を除く) _(再掲)3億円以下","9973.0","131903.0","131266.0","637.0","9861.0","131316.0","130679.0","637.0","64.0","318.0","318.0","-","48.0","269.0","269.0","-"
"C 鉱業，採石業，砂利採取業 ","4.0","68.0","68.0","-","4.0","68.0","68.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _300万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _300万円～500万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _500万円～1,000万円未満","1.0","21.0","21.0","-","1.0","21.0","21.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _1,000万円～3,000万円未満","2.0","7.0","7.0","-","2.0","7.0","7.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _3,000万円～5,000万円未満","1.0","40.0","40.0","-","1.0","40.0","40.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _5,000万円～1億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _1億円～3億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _(再掲)1,000万円以下","3.0","28.0","28.0","-","3.0","28.0","28.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _(再掲)5,000万円以下","4.0","68.0","68.0","-","4.0","68.0","68.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _(再掲)1億円以下","4.0","68.0","68.0","-","4.0","68.0","68.0","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業 _(再掲)3億円以下","4.0","68.0","68.0","-","4.0","68.0","68.0","-","-","-","-","-","-","-","-","-"
"D 建設業 ","1759.0","13640.0","13637.0","3.0","1754.0","13635.0","13632.0","3.0","4.0","4.0","4.0","-","1.0","1.0","1.0","-"
"D 建設業 _300万円未満","56.0","170.0","170.0","-","52.0","169.0","169.0","-","3.0","-","-","-","1.0","1.0","1.0","-"
"D 建設業 _300万円～500万円未満","424.0","1537.0","1537.0","-","424.0","1537.0","1537.0","-","-","-","-","-","-","-","-","-"
"D 建設業 _500万円～1,000万円未満","254.0","1042.0","1042.0","-","253.0","1038.0","1038.0","-","1.0","4.0","4.0","-","-","-","-","-"
"D 建設業 _1,000万円～3,000万円未満","636.0","5396.0","5396.0","-","636.0","5396.0","5396.0","-","-","-","-","-","-","-","-","-"
"D 建設業 _3,000万円～5,000万円未満","274.0","3326.0","3326.0","-","274.0","3326.0","3326.0","-","-","-","-","-","-","-","-","-"
"D 建設業 _5,000万円～1億円未満","60.0","1067.0","1064.0","3.0","60.0","1067.0","1064.0","3.0","-","-","-","-","-","-","-","-"
"D 建設業 _1億円～3億円未満","4.0","47.0","47.0","-","4.0","47.0","47.0","-","-","-","-","-","-","-","-","-"
"D 建設業 _3億円～10億円未満","6.0","849.0","849.0","-","6.0","849.0","849.0","-","-","-","-","-","-","-","-","-"
"D 建設業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D 建設業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"D 建設業 _(再掲)1,000万円以下","1138.0","5201.0","5201.0","-","1133.0","5196.0","5196.0","-","4.0","4.0","4.0","-","1.0","1.0","1.0","-"
"D 建設業 _(再掲)5,000万円以下","1679.0","11899.0","11899.0","-","1674.0","11894.0","11894.0","-","4.0","4.0","4.0","-","1.0","1.0","1.0","-"
"D 建設業 _(再掲)1億円以下","1705.0","12541.0","12538.0","3.0","1700.0","12536.0","12533.0","3.0","4.0","4.0","4.0","-","1.0","1.0","1.0","-"
"D 建設業 _(再掲)3億円以下","1710.0","12843.0","12840.0","3.0","1705.0","12838.0","12835.0","3.0","4.0","4.0","4.0","-","1.0","1.0","1.0","-"
"E 製造業 ","1821.0","40300.0","39689.0","611.0","1805.0","40257.0","39646.0","611.0","15.0","43.0","43.0","-","1.0","-","-","-"
"E 製造業 _300万円未満","61.0","377.0","377.0","-","49.0","343.0","343.0","-","11.0","34.0","34.0","-","1.0","-","-","-"
"E 製造業 _300万円～500万円未満","457.0","3128.0","3128.0","-","455.0","3127.0","3127.0","-","2.0","1.0","1.0","-","-","-","-","-"
"E 製造業 _500万円～1,000万円未満","193.0","1763.0","1633.0","130.0","191.0","1755.0","1625.0","130.0","2.0","8.0","8.0","-","-","-","-","-"
"E 製造業 _1,000万円～3,000万円未満","894.0","16751.0","16743.0","8.0","894.0","16751.0","16743.0","8.0","-","-","-","-","-","-","-","-"
"E 製造業 _3,000万円～5,000万円未満","82.0","3981.0","3543.0","438.0","82.0","3981.0","3543.0","438.0","-","-","-","-","-","-","-","-"
"E 製造業 _5,000万円～1億円未満","66.0","6431.0","6428.0","3.0","66.0","6431.0","6428.0","3.0","-","-","-","-","-","-","-","-"
"E 製造業 _1億円～3億円未満","23.0","2612.0","2588.0","24.0","23.0","2612.0","2588.0","24.0","-","-","-","-","-","-","-","-"
"E 製造業 _3億円～10億円未満","9.0","1160.0","1160.0","-","9.0","1160.0","1160.0","-","-","-","-","-","-","-","-","-"
"E 製造業 _10億円～50億円未満","4.0","1107.0","1107.0","-","4.0","1107.0","1107.0","-","-","-","-","-","-","-","-","-"
"E 製造業 _50億円以上","2.0","2322.0","2314.0","8.0","2.0","2322.0","2314.0","8.0","-","-","-","-","-","-","-","-"
"E 製造業 _(再掲)1,000万円以下","1438.0","16731.0","16601.0","130.0","1422.0","16688.0","16558.0","130.0","15.0","43.0","43.0","-","1.0","-","-","-"
"E 製造業 _(再掲)5,000万円以下","1711.0","27379.0","26803.0","576.0","1695.0","27336.0","26760.0","576.0","15.0","43.0","43.0","-","1.0","-","-","-"
"E 製造業 _(再掲)1億円以下","1765.0","34174.0","33571.0","603.0","1749.0","34131.0","33528.0","603.0","15.0","43.0","43.0","-","1.0","-","-","-"
"E 製造業 _(再掲)3億円以下","1778.0","35222.0","34619.0","603.0","1762.0","35179.0","34576.0","603.0","15.0","43.0","43.0","-","1.0","-","-","-"
"F 電気・ガス・熱供給・水道業 ","6.0","275.0","275.0","-","6.0","275.0","275.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _300万円未満","2.0","5.0","5.0","-","2.0","5.0","5.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _300万円～500万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _500万円～1,000万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _1,000万円～3,000万円未満","1.0","136.0","136.0","-","1.0","136.0","136.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _3,000万円～5,000万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _5,000万円～1億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _1億円～3億円未満","1.0","22.0","22.0","-","1.0","22.0","22.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _3億円～10億円未満","1.0","5.0","5.0","-","1.0","5.0","5.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _10億円～50億円未満","1.0","107.0","107.0","-","1.0","107.0","107.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _(再掲)1,000万円以下","2.0","5.0","5.0","-","2.0","5.0","5.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _(再掲)5,000万円以下","3.0","141.0","141.0","-","3.0","141.0","141.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _(再掲)1億円以下","3.0","141.0","141.0","-","3.0","141.0","141.0","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業 _(再掲)3億円以下","4.0","163.0","163.0","-","4.0","163.0","163.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 ","128.0","1682.0","1682.0","-","126.0","1681.0","1681.0","-","-","-","-","-","2.0","1.0","1.0","-"
"G 情報通信業 _300万円未満","13.0","27.0","27.0","-","12.0","26.0","26.0","-","-","-","-","-","1.0","1.0","1.0","-"
"G 情報通信業 _300万円～500万円未満","42.0","83.0","83.0","-","42.0","83.0","83.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _500万円～1,000万円未満","9.0","49.0","49.0","-","9.0","49.0","49.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _1,000万円～3,000万円未満","42.0","267.0","267.0","-","41.0","267.0","267.0","-","-","-","-","-","1.0","-","-","-"
"G 情報通信業 _3,000万円～5,000万円未満","7.0","247.0","247.0","-","7.0","247.0","247.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _5,000万円～1億円未満","6.0","351.0","351.0","-","6.0","351.0","351.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _1億円～3億円未満","1.0","42.0","42.0","-","1.0","42.0","42.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _3億円～10億円未満","1.0","415.0","415.0","-","1.0","415.0","415.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _10億円～50億円未満","1.0","88.0","88.0","-","1.0","88.0","88.0","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"G 情報通信業 _(再掲)1,000万円以下","102.0","388.0","388.0","-","100.0","387.0","387.0","-","-","-","-","-","2.0","1.0","1.0","-"
"G 情報通信業 _(再掲)5,000万円以下","115.0","734.0","734.0","-","113.0","733.0","733.0","-","-","-","-","-","2.0","1.0","1.0","-"
"G 情報通信業 _(再掲)1億円以下","120.0","1066.0","1066.0","-","118.0","1065.0","1065.0","-","-","-","-","-","2.0","1.0","1.0","-"
"G 情報通信業 _(再掲)3億円以下","120.0","1066.0","1066.0","-","118.0","1065.0","1065.0","-","-","-","-","-","2.0","1.0","1.0","-"
"H 運輸業，郵便業 ","499.0","13323.0","13323.0","-","496.0","13291.0","13291.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"H 運輸業，郵便業 _300万円未満","15.0","80.0","80.0","-","12.0","48.0","48.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"H 運輸業，郵便業 _300万円～500万円未満","66.0","653.0","653.0","-","66.0","653.0","653.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _500万円～1,000万円未満","103.0","2381.0","2381.0","-","103.0","2381.0","2381.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _1,000万円～3,000万円未満","264.0","6414.0","6414.0","-","264.0","6414.0","6414.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _3,000万円～5,000万円未満","18.0","1544.0","1544.0","-","18.0","1544.0","1544.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _5,000万円～1億円未満","19.0","1802.0","1802.0","-","19.0","1802.0","1802.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _1億円～3億円未満","5.0","245.0","245.0","-","5.0","245.0","245.0","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業 _(再掲)1,000万円以下","335.0","6785.0","6785.0","-","332.0","6753.0","6753.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"H 運輸業，郵便業 _(再掲)5,000万円以下","472.0","11470.0","11470.0","-","469.0","11438.0","11438.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"H 運輸業，郵便業 _(再掲)1億円以下","489.0","13108.0","13108.0","-","486.0","13076.0","13076.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"H 運輸業，郵便業 _(再掲)3億円以下","490.0","13119.0","13119.0","-","487.0","13087.0","13087.0","-","1.0","24.0","24.0","-","2.0","8.0","8.0","-"
"I 卸売業，小売業 ","2876.0","40597.0","40558.0","39.0","2843.0","40282.0","40243.0","39.0","29.0","227.0","227.0","-","4.0","88.0","88.0","-"
"I 卸売業，小売業 _300万円未満","159.0","940.0","940.0","-","137.0","695.0","695.0","-","19.0","161.0","161.0","-","3.0","84.0","84.0","-"
"I 卸売業，小売業 _300万円～500万円未満","956.0","4724.0","4716.0","8.0","951.0","4704.0","4696.0","8.0","4.0","16.0","16.0","-","1.0","4.0","4.0","-"
"I 卸売業，小売業 _500万円～1,000万円未満","337.0","2023.0","2023.0","-","333.0","1992.0","1992.0","-","4.0","31.0","31.0","-","-","-","-","-"
"I 卸売業，小売業 _1,000万円～3,000万円未満","1176.0","14437.0","14432.0","5.0","1175.0","14419.0","14414.0","5.0","1.0","18.0","18.0","-","-","-","-","-"
"I 卸売業，小売業 _3,000万円～5,000万円未満","83.0","3444.0","3444.0","-","83.0","3444.0","3444.0","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業 _5,000万円～1億円未満","54.0","2695.0","2688.0","7.0","54.0","2695.0","2688.0","7.0","-","-","-","-","-","-","-","-"
