"企業産業大分類，資本金階級","総数_企業数","総数_常用雇用者数","総数_常用雇用者数_国内","総数_常用雇用者数_海外","株式・有限・相互会社_企業数","株式・有限・相互会社_常用雇用者数","株式・有限・相互会社_常用雇用者数_国内","株式・有限・相互会社_常用雇用者数_海外","合名・合資会社_企業数","合名・合資会社_常用雇用者数","合名・合資会社_常用雇用者数_国内","合名・合資会社_常用雇用者数_海外","合同会社_企業数","合同会社_常用雇用者数","合同会社_常用雇用者数_国内","合同会社_常用雇用者数_海外"
"J 金融業，保険業 _1億円～3億円未満","1.0","5.0","5.0","-","1.0","5.0","5.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _3億円～10億円未満","1.0","13.0","13.0","-","1.0","13.0","13.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _50億円以上","1.0","3678.0","3678.0","-","1.0","3678.0","3678.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _(再掲)1,000万円以下","156.0","540.0","540.0","-","152.0","537.0","537.0","-","-","-","-","-","4.0","3.0","3.0","-"
"J 金融業，保険業 _(再掲)5,000万円以下","164.0","561.0","561.0","-","160.0","558.0","558.0","-","-","-","-","-","4.0","3.0","3.0","-"
"J 金融業，保険業 _(再掲)1億円以下","167.0","585.0","585.0","-","163.0","582.0","582.0","-","-","-","-","-","4.0","3.0","3.0","-"
"J 金融業，保険業 _(再掲)3億円以下","168.0","590.0","590.0","-","164.0","587.0","587.0","-","-","-","-","-","4.0","3.0","3.0","-"
"K 不動産業，物品賃貸業 ","820.0","3026.0","3025.0","1.0","806.0","3013.0","3012.0","1.0","11.0","9.0","9.0","-","3.0","4.0","4.0","-"
"K 不動産業，物品賃貸業 _300万円未満","48.0","83.0","83.0","-","37.0","71.0","71.0","-","9.0","8.0","8.0","-","2.0","4.0","4.0","-"
"K 不動産業，物品賃貸業 _300万円～500万円未満","321.0","484.0","484.0","-","319.0","484.0","484.0","-","1.0","-","-","-","1.0","-","-","-"
"K 不動産業，物品賃貸業 _500万円～1,000万円未満","89.0","118.0","118.0","-","89.0","118.0","118.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _1,000万円～3,000万円未満","286.0","924.0","923.0","1.0","286.0","924.0","923.0","1.0","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _3,000万円～5,000万円未満","25.0","167.0","167.0","-","25.0","167.0","167.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _5,000万円～1億円未満","19.0","197.0","197.0","-","19.0","197.0","197.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _1億円～3億円未満","2.0","9.0","9.0","-","2.0","9.0","9.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _3億円～10億円未満","3.0","844.0","844.0","-","3.0","844.0","844.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _10億円～50億円未満","2.0","122.0","122.0","-","2.0","122.0","122.0","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"K 不動産業，物品賃貸業 _(再掲)1,000万円以下","688.0","1372.0","1372.0","-","675.0","1360.0","1360.0","-","10.0","8.0","8.0","-","3.0","4.0","4.0","-"
"K 不動産業，物品賃貸業 _(再掲)5,000万円以下","772.0","1779.0","1778.0","1.0","759.0","1767.0","1766.0","1.0","10.0","8.0","8.0","-","3.0","4.0","4.0","-"
"K 不動産業，物品賃貸業 _(再掲)1億円以下","790.0","1982.0","1981.0","1.0","777.0","1970.0","1969.0","1.0","10.0","8.0","8.0","-","3.0","4.0","4.0","-"
"K 不動産業，物品賃貸業 _(再掲)3億円以下","790.0","1982.0","1981.0","1.0","777.0","1970.0","1969.0","1.0","10.0","8.0","8.0","-","3.0","4.0","4.0","-"
"L 学術研究，専門・技術サービス業 ","365.0","2307.0","2300.0","7.0","363.0","2306.0","2299.0","7.0","1.0","1.0","1.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業 _300万円未満","34.0","50.0","50.0","-","32.0","49.0","49.0","-","1.0","1.0","1.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業 _300万円～500万円未満","120.0","289.0","289.0","-","120.0","289.0","289.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _500万円～1,000万円未満","48.0","237.0","237.0","-","48.0","237.0","237.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _1,000万円～3,000万円未満","135.0","1170.0","1170.0","-","135.0","1170.0","1170.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _3,000万円～5,000万円未満","12.0","457.0","457.0","-","12.0","457.0","457.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _5,000万円～1億円未満","2.0","39.0","39.0","-","2.0","39.0","39.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _1億円～3億円未満","1.0","1.0","1.0","-","1.0","1.0","1.0","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _50億円以上","1.0","8.0","1.0","7.0","1.0","8.0","1.0","7.0","-","-","-","-","-","-","-","-"
"L 学術研究，専門・技術サービス業 _(再掲)1,000万円以下","315.0","1409.0","1409.0","-","313.0","1408.0","1408.0","-","1.0","1.0","1.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業 _(再掲)5,000万円以下","350.0","2232.0","2232.0","-","348.0","2231.0","2231.0","-","1.0","1.0","1.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業 _(再掲)1億円以下","352.0","2243.0","2243.0","-","350.0","2242.0","2242.0","-","1.0","1.0","1.0","-","1.0","-","-","-"
"L 学術研究，専門・技術サービス業 _(再掲)3億円以下","352.0","2243.0","2243.0","-","350.0","2242.0","2242.0","-","1.0","1.0","1.0","-","1.0","-","-","-"
"M 宿泊業，飲食サービス業 ","522.0","13317.0","13317.0","-","516.0","13274.0","13274.0","-","1.0","-","-","-","5.0","43.0","43.0","-"
"M 宿泊業，飲食サービス業 _300万円未満","40.0","518.0","518.0","-","35.0","487.0","487.0","-","1.0","-","-","-","4.0","31.0","31.0","-"
"M 宿泊業，飲食サービス業 _300万円～500万円未満","194.0","2433.0","2433.0","-","193.0","2421.0","2421.0","-","-","-","-","-","1.0","12.0","12.0","-"
"M 宿泊業，飲食サービス業 _500万円～1,000万円未満","61.0","1414.0","1414.0","-","61.0","1414.0","1414.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _1,000万円～3,000万円未満","127.0","4940.0","4940.0","-","127.0","4940.0","4940.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _3,000万円～5,000万円未満","20.0","1079.0","1079.0","-","20.0","1079.0","1079.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _5,000万円～1億円未満","15.0","961.0","961.0","-","15.0","961.0","961.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _1億円～3億円未満","2.0","190.0","190.0","-","2.0","190.0","190.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _3億円～10億円未満","1.0","363.0","363.0","-","1.0","363.0","363.0","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"M 宿泊業，飲食サービス業 _(再掲)1,000万円以下","402.0","8009.0","8009.0","-","396.0","7966.0","7966.0","-","1.0","-","-","-","5.0","43.0","43.0","-"
"M 宿泊業，飲食サービス業 _(再掲)5,000万円以下","443.0","10409.0","10409.0","-","437.0","10366.0","10366.0","-","1.0","-","-","-","5.0","43.0","43.0","-"
"M 宿泊業，飲食サービス業 _(再掲)1億円以下","459.0","11535.0","11535.0","-","453.0","11492.0","11492.0","-","1.0","-","-","-","5.0","43.0","43.0","-"
"M 宿泊業，飲食サービス業 _(再掲)3億円以下","459.0","11535.0","11535.0","-","453.0","11492.0","11492.0","-","1.0","-","-","-","5.0","43.0","43.0","-"
"N 生活関連サービス業，娯楽業 ","358.0","5721.0","5711.0","10.0","354.0","5675.0","5665.0","10.0","3.0","13.0","13.0","-","1.0","33.0","33.0","-"
"N 生活関連サービス業，娯楽業 _300万円未満","21.0","140.0","140.0","-","20.0","135.0","135.0","-","1.0","5.0","5.0","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _300万円～500万円未満","135.0","1084.0","1084.0","-","133.0","1049.0","1049.0","-","1.0","2.0","2.0","-","1.0","33.0","33.0","-"
"N 生活関連サービス業，娯楽業 _500万円～1,000万円未満","42.0","534.0","534.0","-","42.0","534.0","534.0","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _1,000万円～3,000万円未満","116.0","2370.0","2360.0","10.0","116.0","2370.0","2360.0","10.0","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _3,000万円～5,000万円未満","14.0","846.0","846.0","-","14.0","846.0","846.0","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _5,000万円～1億円未満","5.0","325.0","325.0","-","5.0","325.0","325.0","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _1億円～3億円未満","4.0","176.0","176.0","-","4.0","176.0","176.0","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"N 生活関連サービス業，娯楽業 _(再掲)1,000万円以下","282.0","3540.0","3530.0","10.0","279.0","3500.0","3490.0","10.0","2.0","7.0","7.0","-","1.0","33.0","33.0","-"
"N 生活関連サービス業，娯楽業 _(再掲)5,000万円以下","329.0","5068.0","5058.0","10.0","326.0","5028.0","5018.0","10.0","2.0","7.0","7.0","-","1.0","33.0","33.0","-"
"N 生活関連サービス業，娯楽業 _(再掲)1億円以下","336.0","5442.0","5432.0","10.0","333.0","5402.0","5392.0","10.0","2.0","7.0","7.0","-","1.0","33.0","33.0","-"
"N 生活関連サービス業，娯楽業 _(再掲)3億円以下","337.0","5475.0","5465.0","10.0","334.0","5435.0","5425.0","10.0","2.0","7.0","7.0","-","1.0","33.0","33.0","-"
"O 教育，学習支援業 ","108.0","1544.0","1544.0","-","106.0","1527.0","1527.0","-","1.0","3.0","3.0","-","1.0","14.0","14.0","-"
"O 教育，学習支援業 _300万円未満","13.0","53.0","53.0","-","13.0","53.0","53.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _300万円～500万円未満","34.0","170.0","170.0","-","34.0","170.0","170.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _500万円～1,000万円未満","14.0","186.0","186.0","-","14.0","186.0","186.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _1,000万円～3,000万円未満","28.0","926.0","926.0","-","28.0","926.0","926.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _3,000万円～5,000万円未満","2.0","41.0","41.0","-","2.0","41.0","41.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _5,000万円～1億円未満","2.0","61.0","61.0","-","2.0","61.0","61.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _1億円～3億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _(再掲)1,000万円以下","83.0","1118.0","1118.0","-","83.0","1118.0","1118.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _(再掲)5,000万円以下","91.0","1376.0","1376.0","-","91.0","1376.0","1376.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _(再掲)1億円以下","93.0","1437.0","1437.0","-","93.0","1437.0","1437.0","-","-","-","-","-","-","-","-","-"
"O 教育，学習支援業 _(再掲)3億円以下","93.0","1437.0","1437.0","-","93.0","1437.0","1437.0","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 ","356.0","6783.0","6783.0","-","336.0","6695.0","6695.0","-","1.0","2.0","2.0","-","19.0","86.0","86.0","-"
"P 医療，福祉 _300万円未満","98.0","873.0","873.0","-","81.0","795.0","795.0","-","1.0","2.0","2.0","-","16.0","76.0","76.0","-"
"P 医療，福祉 _300万円～500万円未満","163.0","3113.0","3113.0","-","161.0","3107.0","3107.0","-","-","-","-","-","2.0","6.0","6.0","-"
"P 医療，福祉 _500万円～1,000万円未満","34.0","747.0","747.0","-","34.0","747.0","747.0","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _1,000万円～3,000万円未満","38.0","1254.0","1254.0","-","38.0","1254.0","1254.0","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _3,000万円～5,000万円未満","4.0","411.0","411.0","-","4.0","411.0","411.0","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _5,000万円～1億円未満","2.0","55.0","55.0","-","2.0","55.0","55.0","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _1億円～3億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"P 医療，福祉 _(再掲)1,000万円以下","327.0","5787.0","5787.0","-","308.0","5703.0","5703.0","-","1.0","2.0","2.0","-","18.0","82.0","82.0","-"
"P 医療，福祉 _(再掲)5,000万円以下","338.0","6404.0","6404.0","-","319.0","6320.0","6320.0","-","1.0","2.0","2.0","-","18.0","82.0","82.0","-"
"P 医療，福祉 _(再掲)1億円以下","339.0","6453.0","6453.0","-","320.0","6369.0","6369.0","-","1.0","2.0","2.0","-","18.0","82.0","82.0","-"
"P 医療，福祉 _(再掲)3億円以下","339.0","6453.0","6453.0","-","320.0","6369.0","6369.0","-","1.0","2.0","2.0","-","18.0","82.0","82.0","-"
"Q 複合サービス事業 ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _300万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _300万円～500万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _500万円～1,000万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _1,000万円～3,000万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _3,000万円～5,000万円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _5,000万円～1億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _1億円～3億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _(再掲)1,000万円以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _(再掲)5,000万円以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _(再掲)1億円以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業 _(再掲)3億円以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) ","569.0","9413.0","9413.0","-","562.0","9404.0","9404.0","-","1.0","3.0","3.0","-","6.0","6.0","6.0","-"
"R サービス業(他に分類されないもの) _300万円未満","40.0","449.0","449.0","-","35.0","440.0","440.0","-","1.0","3.0","3.0","-","4.0","6.0","6.0","-"
"R サービス業(他に分類されないもの) _300万円～500万円未満","260.0","2169.0","2169.0","-","259.0","2169.0","2169.0","-","-","-","-","-","1.0","-","-","-"
"R サービス業(他に分類されないもの) _500万円～1,000万円未満","62.0","702.0","702.0","-","61.0","702.0","702.0","-","-","-","-","-","1.0","-","-","-"
"R サービス業(他に分類されないもの) _1,000万円～3,000万円未満","171.0","4410.0","4410.0","-","171.0","4410.0","4410.0","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _3,000万円～5,000万円未満","16.0","899.0","899.0","-","16.0","899.0","899.0","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _5,000万円～1億円未満","6.0","364.0","364.0","-","6.0","364.0","364.0","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _1億円～3億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _3億円～10億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _10億円～50億円未満","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _50億円以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業(他に分類されないもの) _(再掲)1,000万円以下","500.0","6334.0","6334.0","-","493.0","6325.0","6325.0","-","1.0","3.0","3.0","-","6.0","6.0","6.0","-"
"R サービス業(他に分類されないもの) _(再掲)5,000万円以下","550.0","8720.0","8720.0","-","543.0","8711.0","8711.0","-","1.0","3.0","3.0","-","6.0","6.0","6.0","-"
"R サービス業(他に分類されないもの) _(再掲)1億円以下","555.0","8993.0","8993.0","-","548.0","8984.0","8984.0","-","1.0","3.0","3.0","-","6.0","6.0","6.0","-"
"R サービス業(他に分類されないもの) _(再掲)3億円以下","555.0","8993.0","8993.0","-","548.0","8984.0","8984.0","-","1.0","3.0","3.0","-","6.0","6.0","6.0","-"
